GEO_ID,NAME,line_no,total,total_moe,total_pct,male,male_moe,male_pct,female,female_moe,female_pct
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,001,518,294,,179,177,,339,219,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,002,18,31,3.5,0,19,0,18,31,5.3
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,003,160,187,30.9,141,171,78.8,19,33,5.6
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,004,137,138,26.4,19,30,10.6,118,135,34.8
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,005,203,211,39.2,19,31,10.6,184,203,54.3
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,006,5334,718,,2094,546,,3240,431,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,007,157,114,2.9,119,101,5.7,38,50,1.2
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,008,511,241,9.6,289,225,13.8,222,165,6.9
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,009,1382,431,25.9,580,397,27.7,802,320,24.8
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,010,887,345,16.6,389,199,18.6,498,255,15.4
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,011,497,259,9.3,232,203,11.1,265,204,8.2
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,012,1110,357,20.8,344,153,16.4,766,288,23.6
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,013,790,343,14.8,141,114,6.7,649,325,20
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,014,4666,669,87.5,1686,496,80.5,2980,426,92
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,015,1900,427,35.6,485,178,23.2,1415,387,43.7
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,016,1165,512,,330,203,,835,374,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,017,986,412,84.6,151,88,45.8,835,374,100
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,018,535,292,45.9,90,72,27.3,445,270,53.3
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,019,1777,792,,986,476,,791,373,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,020,1593,795,89.6,901,481,91.4,692,373,87.5
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,021,807,405,45.4,198,122,20.1,609,375,77
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,022,1681,355,,478,186,,1203,350,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,023,1495,326,88.9,445,174,93.1,1050,317,87.3
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,024,401,207,23.9,93,78,19.5,308,179,25.6
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,025,711,184,,300,142,,411,147,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,026,592,202,83.3,189,108,63,403,144,98.1
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,027,157,97,22.1,104,70,34.7,53,62,12.9
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,028,1341,408,,462,186,,879,283,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,029,1290,390,96.2,461,187,99.8,829,270,94.3
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,030,589,302,43.9,259,141,56.1,330,205,37.5
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,031,1322,410,,462,186,,860,284,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,032,1271,392,96.1,461,187,99.8,810,271,94.2
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,033,589,302,44.6,259,141,56.1,330,205,38.4
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,034,3189,883,,1188,601,,2001,480,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,035,2923,857,91.7,1045,528,88,1878,493,93.9
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,036,1145,417,35.9,155,113,13,990,413,49.5
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,037,0,19,,0,19,,0,19,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,038,0,19,,0,19,,0,19,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,039,0,19,,0,19,,0,19,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,040,255,238,,130,116,,125,141,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,041,244,237,95.7,130,116,100,114,141,91.2
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,042,130,148,51,71,82,54.6,59,68,47.2
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,043,0,19,,0,19,,0,19,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,044,0,19,,0,19,,0,19,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,045,0,19,,0,19,,0,19,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,046,6,27,,6,27,,0,19,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,047,6,27,100,6,27,100,0,19,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,048,0,19,0,0,19,0,0,19,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,049,543,307,,308,182,,235,149,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,050,203,182,37.4,44,67,14.3,159,152,67.7
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,051,36,66,6.6,0,19,0,36,66,15.3
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,052,554,304,,301,181,,253,149,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,053,219,194,39.5,42,77,14,177,158,70
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,054,36,66,6.5,0,19,0,36,66,14.2
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,055,,,17,,,21.1,,,10.7
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,056,,,9.7,,,0,,,17.2
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,057,,,11.2,,,0.2,,,20.5
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,058,,,10.1,,,10.7,,,9.8
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,059,40985,5364,,37449,7663,,42127,8430,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,060,30446,16205,,,,,31413,8349,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,061,32455,13212,,35615,7944,,,,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,062,38458,9142,,46824,14472,,19119,18107,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,063,56026,7713,,55795,5838,,56167,37993,
1400000US47157021124,Census Tract 211.24; Shelby County; Tennessee,064,70898,12246,,68108,54968,,71263,14558,
